year,state_from,state_population_same_one_year_plus,state_population_same_house_one_year,state_population_same_state_one_year,state_population_different_state_residence_one_year,state_to,migration,total_migration_population,pct_migrated
2010,Alaska,702974,565031,95878,36326,Idaho,895,42065,0.02127659574468085
2010,Alaska,702974,565031,95878,36326,Illinois,388,42065,0.009223820278140973
2010,Alaska,702974,565031,95878,36326,Indiana,9,42065,2.1395459408058955e-4
2010,Alaska,702974,565031,95878,36326,Iowa,262,42065,0.006228455961012718
2010,Alaska,702974,565031,95878,36326,Kansas,106,42065,0.0025199096636158327
2010,Alaska,702974,565031,95878,36326,Kentucky,1440,42065,0.03423273505289433
2010,Alaska,702974,565031,95878,36326,Louisiana,100,42065,0.002377273267562106
2010,Alaska,702974,565031,95878,36326,Maine,574,42065,0.01364554855580649
2010,Alaska,702974,565031,95878,36326,Maryland,704,42065,0.01673600380363723
2010,Alaska,702974,565031,95878,36326,Massachusetts,107,42065,0.002543682396291454
2010,Alaska,702974,565031,95878,36326,Michigan,923,42065,0.02194223225959824
2010,Alaska,702974,565031,95878,36326,Minnesota,530,42065,0.012599548318079164
2010,Alaska,702974,565031,95878,36326,Mississippi,263,42065,0.00625222869368834
2010,Alaska,702974,565031,95878,36326,Missouri,0,42065,0
2010,Alaska,702974,565031,95878,36326,Montana,616,42065,0.014644003328182574
2010,Alaska,702974,565031,95878,36326,Nebraska,215,42065,0.0051111375252585285
2010,Alaska,702974,565031,95878,36326,Nevada,240,42065,0.005705455842149055
2010,Alaska,702974,565031,95878,36326,New Hampshire,316,42065,0.007512183525496255
2010,Alaska,702974,565031,95878,36326,New Jersey,413,42065,0.009818138595031499
2010,Alaska,702974,565031,95878,36326,New Mexico,421,42065,0.010008320456436468
2010,Alaska,702974,565031,95878,36326,New York,255,42065,0.006062046832283371
2010,Alaska,702974,565031,95878,36326,North Carolina,698,42065,0.016593367407583503
2010,Alaska,702974,565031,95878,36326,North Dakota,69,42065,0.0016403185546178534
2010,Alaska,702974,565031,95878,36326,Ohio,156,42065,0.003708546297396886
2010,Alaska,702974,565031,95878,36326,Oklahoma,1455,42065,0.03458932604302865
2010,Alaska,702974,565031,95878,36326,Oregon,1793,42065,0.04262450968738857
2010,Alaska,702974,565031,95878,36326,Pennsylvania,126,42065,0.0029953643171282537
2010,Alaska,702974,565031,95878,36326,Rhode Island,0,42065,0
2010,Alaska,702974,565031,95878,36326,South Carolina,121,42065,0.002876500653750149
2010,Alaska,702974,565031,95878,36326,South Dakota,531,42065,0.012623321050754784
2010,Alaska,702974,565031,95878,36326,Tennessee,477,42065,0.011339593486271247
2010,Alaska,702974,565031,95878,36326,Texas,4123,42065,0.09801497682158564
2010,Alaska,702974,565031,95878,36326,Utah,1274,42065,0.030286461428741234
2010,Alaska,702974,565031,95878,36326,Vermont,353,42065,0.008391774634494234
2010,Alaska,702974,565031,95878,36326,Virginia,714,42065,0.016973731130393438
2010,Alaska,702974,565031,95878,36326,Washington,2421,42065,0.057553785807678594
2010,Alaska,702974,565031,95878,36326,West Virginia,0,42065,0
2010,Alaska,702974,565031,95878,36326,Wisconsin,158,42065,0.0037560917627481277
2010,Alaska,702974,565031,95878,36326,Wyoming,81,42065,0.0019255913467253062
2010,Alaska,702974,565031,95878,36326,Puerto Rico,19,42065,4.516819208368002e-4
2010,Alaska,702974,565031,95878,36326,U S Island Area,1374,42065,0.03266373469630334
2010,Alaska,702974,565031,95878,36326,Foreign Country,4346,42065,0.10331629620824914
2010,Arizona,6332786,5069002,1001991,222725,Alabama,416,261793,0.0015890417238046855
2010,Arizona,6332786,5069002,1001991,222725,Alaska,3109,261793,0.011875794998338381
2010,Arizona,6332786,5069002,1001991,222725,Arizona,NA,261793,NA
2010,Arizona,6332786,5069002,1001991,222725,Arkansas,689,261793,0.00263185035505151
2010,Arizona,6332786,5069002,1001991,222725,California,47164,261793,0.1801576054363562
2010,Arizona,6332786,5069002,1001991,222725,Colorado,7687,261793,0.02936289358386206
2010,Arizona,6332786,5069002,1001991,222725,Connecticut,479,261793,0.0018296898694770297
2010,Arizona,6332786,5069002,1001991,222725,Delaware,738,261793,0.002819021135018889
2010,Arizona,6332786,5069002,1001991,222725,District of Columbia,0,261793,0
2010,Arizona,6332786,5069002,1001991,222725,Florida,7712,261793,0.02945838887976378
2010,Arizona,6332786,5069002,1001991,222725,Georgia,4261,261793,0.01627621823348982
2010,Arizona,6332786,5069002,1001991,222725,Hawaii,1966,261793,0.007509750069711566
2010,Arizona,6332786,5069002,1001991,222725,Idaho,2147,261793,0.008201136012040047
2010,Arizona,6332786,5069002,1001991,222725,Illinois,12250,261793,0.0467926949918447
2010,Arizona,6332786,5069002,1001991,222725,Indiana,2690,261793,0.01027529383902549
2010,Arizona,6332786,5069002,1001991,222725,Iowa,3008,261793,0.011489994002895418
2010,Arizona,6332786,5069002,1001991,222725,Kansas,1935,261793,0.007391335902793428
2010,Arizona,6332786,5069002,1001991,222725,Kentucky,1705,261793,0.006512779180497569
2010,Arizona,6332786,5069002,1001991,222725,Louisiana,2014,261793,0.0076931010378428755
2010,Arizona,6332786,5069002,1001991,222725,Maine,241,261793,9.205746524926182e-4
2010,Arizona,6332786,5069002,1001991,222725,Maryland,1284,261793,0.004904638397512539
2010,Arizona,6332786,5069002,1001991,222725,Massachusetts,1449,261793,0.005534907350463916
2010,Arizona,6332786,5069002,1001991,222725,Michigan,6354,261793,0.02427108440638214
2010,Arizona,6332786,5069002,1001991,222725,Minnesota,5421,261793,0.020707199963329807
2010,Arizona,6332786,5069002,1001991,222725,Mississippi,272,261793,0.0010389888194107558
2010,Arizona,6332786,5069002,1001991,222725,Missouri,4567,261793,0.01744508065532692
2010,Arizona,6332786,5069002,1001991,222725,Montana,1343,261793,0.005130007295840607
2010,Arizona,6332786,5069002,1001991,222725,Nebraska,1750,261793,0.006684670713120672
2010,Arizona,6332786,5069002,1001991,222725,Nevada,10342,261793,0.039504494008625136
2010,Arizona,6332786,5069002,1001991,222725,New Hampshire,64,261793,2.444679575084131e-4
2010,Arizona,6332786,5069002,1001991,222725,New Jersey,1782,261793,0.0068069046918748785
2010,Arizona,6332786,5069002,1001991,222725,New Mexico,4419,261793,0.016879748503588712
2010,Arizona,6332786,5069002,1001991,222725,New York,6618,261793,0.025279514731104347
2010,Arizona,6332786,5069002,1001991,222725,North Carolina,4463,261793,0.01704782022437575
2010,Arizona,6332786,5069002,1001991,222725,North Dakota,826,261793,0.003155164576592957
2010,Arizona,6332786,5069002,1001991,222725,Ohio,5225,261793,0.01995851684346029
2010,Arizona,6332786,5069002,1001991,222725,Oklahoma,2910,261793,0.01111565244296066
2010,Arizona,6332786,5069002,1001991,222725,Oregon,5430,261793,0.020741578269854427
2010,Arizona,6332786,5069002,1001991,222725,Pennsylvania,5535,261793,0.021142658512641667
2010,Arizona,6332786,5069002,1001991,222725,Rhode Island,403,261793,0.001539384169935789
2010,Arizona,6332786,5069002,1001991,222725,South Carolina,2310,261793,0.008823765341319286
